name	face	image	1	0
Ioan_Gruffudd	actors/faces/Ioan_Gruffudd/Ioan_Gruffudd_46183_24519.jpeg	actors/images/Ioan_Gruffudd/Ioan_Gruffudd_46183.jpeg	data/training/1/Ioan_Gruffudd_46183_24519.jpg	data/test/0/Ioan_Gruffudd_46183.jpg
Denzel_Washington	actors/faces/Denzel_Washington/Denzel_Washington_31378_16587.jpeg	actors/images/Denzel_Washington/Denzel_Washington_31378.jpeg	data/training/1/Denzel_Washington_31378_16587.jpg	data/test/0/Denzel_Washington_31378.jpg
Billy_Burke	actors/faces/Billy_Burke/Billy_Burke_12997_7394.jpeg	actors/images/Billy_Burke/Billy_Burke_12997.jpeg	data/training/1/Billy_Burke_12997_7394.jpg	data/test/0/Billy_Burke_12997.jpg
Hugh_Jackman	actors/faces/Hugh_Jackman/Hugh_Jackman_44403_23907.jpeg	actors/images/Hugh_Jackman/Hugh_Jackman_44403.jpeg	data/training/1/Hugh_Jackman_44403_23907.jpg	data/test/0/Hugh_Jackman_44403.jpg
Daniel_Radcliffe	actors/faces/Daniel_Radcliffe/Daniel_Radcliffe_27249_14610.jpeg	actors/images/Daniel_Radcliffe/Daniel_Radcliffe_27249.jpeg	data/training/1/Daniel_Radcliffe_27249_14610.jpg	data/test/0/Daniel_Radcliffe_27249.jpg
Gary_Dourdan	actors/faces/Gary_Dourdan/Gary_Dourdan_38497_20466.jpeg	actors/images/Gary_Dourdan/Gary_Dourdan_38497.jpeg	data/training/1/Gary_Dourdan_38497_20466.jpg	data/test/0/Gary_Dourdan_38497.jpg
Arnold_Schwarzenegger	actors/faces/Arnold_Schwarzenegger/Arnold_Schwarzenegger_7094_4110.jpeg	actors/images/Arnold_Schwarzenegger/Arnold_Schwarzenegger_7094.jpeg	data/training/1/Arnold_Schwarzenegger_7094_4110.jpg	data/test/0/Arnold_Schwarzenegger_7094.jpg
Jim_Carrey	actors/faces/Jim_Carrey/Jim_Carrey_57964_30964.jpeg	actors/images/Jim_Carrey/Jim_Carrey_57964.jpeg	data/training/1/Jim_Carrey_57964_30964.jpg	data/test/0/Jim_Carrey_57964.jpg
Ed_Harris	actors/faces/Ed_Harris/Ed_Harris_34552_18246.jpeg	actors/images/Ed_Harris/Ed_Harris_34552.jpeg	data/training/1/Ed_Harris_34552_18246.jpg	data/test/0/Ed_Harris_34552.jpg
Bruce_Greenwood	actors/faces/Bruce_Greenwood/Bruce_Greenwood_15494_8858.jpeg	actors/images/Bruce_Greenwood/Bruce_Greenwood_15494.jpeg	data/training/1/Bruce_Greenwood_15494_8858.jpg	data/test/0/Bruce_Greenwood_15494.jpg
Bill_Murray	actors/faces/Bill_Murray/Bill_Murray_11652_6636.jpeg	actors/images/Bill_Murray/Bill_Murray_11652.jpeg	data/training/1/Bill_Murray_11652_6636.jpg	data/test/0/Bill_Murray_11652.jpg
